test_date,county,new_positives,total_number_of_tests_performed
2023-08-28,Greene,1,6
2023-08-28,Hamilton,0,0
2023-08-28,Herkimer,6,16
2023-08-28,Jefferson,3,52
2023-08-28,Kings,131,1032
2023-08-28,Lewis,1,7
2023-08-28,Livingston,0,1
2023-08-28,Long Island,179,1113
2023-08-28,Madison,5,30
2023-08-28,Mid-Hudson,182,921
2023-08-28,Mohawk Valley,41,197
2023-08-28,Monroe,35,159
2023-08-28,Montgomery,4,18
2023-08-28,Nassau,97,610
2023-08-28,New York,67,534
2023-08-28,New York City,500,3287
2023-08-28,Niagara,2,23
2023-08-28,North Country,18,176
2023-08-28,Oneida,22,129
2023-08-28,Onondaga,28,206
2023-08-28,Ontario,3,12
2023-08-28,Orange,40,151
2023-08-28,Orleans,0,3
2023-08-28,Oswego,4,65
2023-08-28,Otsego,5,13
2023-08-28,Putnam,7,29
2023-08-28,Queens,167,872
2023-08-28,Rensselaer,6,45
2023-08-28,Richmond,38,171
2023-08-28,Rockland,24,136
2023-08-28,STATEWIDE,1116,6792
2023-08-28,Saratoga,8,93
2023-08-28,Schenectady,4,25
2023-08-28,Schoharie,2,4
2023-08-28,Schuyler,0,1
2023-08-28,Seneca,1,12
2023-08-28,Southern Tier,38,129
2023-08-28,St. Lawrence,7,62
2023-08-28,Steuben,2,7
2023-08-28,Suffolk,82,503
2023-08-28,Sullivan,6,13
2023-08-28,Tioga,2,4
2023-08-28,Tompkins,2,9
2023-08-28,Ulster,7,24
2023-08-28,Warren,3,22
2023-08-28,Washington,1,15
2023-08-28,Wayne,4,24
2023-08-28,Westchester,86,451
2023-08-28,Western New York,37,137
2023-08-28,Wyoming,0,1
2023-08-28,Yates,0,1
2023-08-27,Albany,4,62
2023-08-27,Allegany,2,3
2023-08-27,Bronx,76,586
2023-08-27,Broome,3,12
2023-08-27,Capital Region,28,231
2023-08-27,Cattaraugus,0,4
2023-08-27,Cayuga,1,10
2023-08-27,Central New York,30,279
2023-08-27,Chautauqua,4,14
2023-08-27,Chemung,7,21
2023-08-27,Chenango,1,29
2023-08-27,Clinton,4,29
2023-08-27,Columbia,5,8
2023-08-27,Cortland,4,11
2023-08-27,Delaware,3,5
2023-08-27,Dutchess,16,67
2023-08-27,Erie,18,44
2023-08-27,Essex,1,12
2023-08-27,Finger Lakes,38,248
2023-08-27,Franklin,0,12
2023-08-27,Fulton,4,16
2023-08-27,Genesee,1,7
2023-08-27,Greene,0,4
2023-08-27,Hamilton,0,1
2023-08-27,Herkimer,0,2
2023-08-27,Jefferson,6,44
2023-08-27,Kings,126,910
2023-08-27,Lewis,1,8
2023-08-27,Livingston,0,1
2023-08-27,Long Island,182,1001
2023-08-27,Madison,2,23
2023-08-27,Mid-Hudson,119,818
2023-08-27,Mohawk Valley,20,92
2023-08-27,Monroe,26,178
2023-08-27,Montgomery,8,14
2023-08-27,Nassau,104,567
2023-08-27,New York,65,438
2023-08-27,New York City,441,2852
2023-08-27,Niagara,2,7
2023-08-27,North Country,14,145
2023-08-27,Oneida,8,56
2023-08-27,Onondaga,16,189
2023-08-27,Ontario,5,14
2023-08-27,Orange,27,176
2023-08-27,Orleans,0,6
2023-08-27,Oswego,7,46
2023-08-27,Otsego,0,3
2023-08-27,Putnam,11,45
2023-08-27,Queens,144,766
2023-08-27,Rensselaer,5,34
2023-08-27,Richmond,30,152
2023-08-27,Rockland,9,112
2023-08-27,STATEWIDE,920,5831
2023-08-27,Saratoga,8,82
2023-08-27,Schenectady,3,15
2023-08-27,Schoharie,0,1
2023-08-27,Schuyler,0,1
2023-08-27,Seneca,0,13
2023-08-27,Southern Tier,22,93
2023-08-27,St. Lawrence,2,39
2023-08-27,Steuben,3,10
2023-08-27,Suffolk,78,434
2023-08-27,Sullivan,2,13
2023-08-27,Tioga,2,7
2023-08-27,Tompkins,3,8
2023-08-27,Ulster,1,30
2023-08-27,Warren,3,21
2023-08-27,Washington,0,5
2023-08-27,Wayne,4,24
2023-08-27,Westchester,53,375
2023-08-27,Western New York,26,72
