test_date,county,new_positives,total_number_of_tests_performed
2023-07-22,Ontario,2,9
2023-07-22,Orange,8,167
2023-07-22,Orleans,0,5
2023-07-22,Oswego,1,27
2023-07-22,Otsego,1,2
2023-07-22,Putnam,7,29
2023-07-22,Queens,156,1071
2023-07-22,Rensselaer,1,22
2023-07-22,Richmond,24,111
2023-07-22,Rockland,10,98
2023-07-22,STATEWIDE,895,6046
2023-07-22,Saratoga,2,43
2023-07-22,Schenectady,2,8
2023-07-22,Schoharie,1,2
2023-07-22,Schuyler,0,1
2023-07-22,Seneca,0,15
2023-07-22,Southern Tier,14,43
2023-07-22,St. Lawrence,0,32
2023-07-22,Steuben,4,11
2023-07-22,Suffolk,108,504
2023-07-22,Sullivan,2,23
2023-07-22,Tioga,1,4
2023-07-22,Tompkins,3,5
2023-07-22,Ulster,3,46
2023-07-22,Warren,1,9
2023-07-22,Washington,2,10
2023-07-22,Wayne,1,20
2023-07-22,Westchester,41,354
2023-07-22,Western New York,20,81
2023-07-22,Wyoming,1,2
2023-07-22,Yates,0,3
2023-07-21,Albany,7,49
2023-07-21,Allegany,0,0
2023-07-21,Bronx,50,624
2023-07-21,Broome,2,7
2023-07-21,Capital Region,12,167
2023-07-21,Cattaraugus,1,8
2023-07-21,Cayuga,0,7
2023-07-21,Central New York,12,184
2023-07-21,Chautauqua,1,6
2023-07-21,Chemung,2,19
2023-07-21,Chenango,0,35
2023-07-21,Clinton,1,25
2023-07-21,Columbia,0,6
2023-07-21,Cortland,3,10
2023-07-21,Delaware,1,3
2023-07-21,Dutchess,5,70
2023-07-21,Erie,8,51
2023-07-21,Essex,1,8
2023-07-21,Finger Lakes,18,169
2023-07-21,Franklin,1,12
2023-07-21,Fulton,1,13
2023-07-21,Genesee,1,8
2023-07-21,Greene,0,3
2023-07-21,Hamilton,0,2
2023-07-21,Herkimer,0,7
2023-07-21,Jefferson,2,58
2023-07-21,Kings,69,919
2023-07-21,Lewis,1,4
2023-07-21,Livingston,0,1
2023-07-21,Long Island,107,952
2023-07-21,Madison,1,15
2023-07-21,Mid-Hudson,88,856
2023-07-21,Mohawk Valley,7,84
2023-07-21,Monroe,13,118
2023-07-21,Montgomery,2,4
2023-07-21,Nassau,51,503
2023-07-21,New York,49,624
2023-07-21,New York City,230,2926
2023-07-21,Niagara,1,13
2023-07-21,North Country,6,151
2023-07-21,Oneida,2,53
2023-07-21,Onondaga,5,111
2023-07-21,Ontario,1,8
2023-07-21,Orange,11,128
2023-07-21,Orleans,0,1
2023-07-21,Oswego,3,41
2023-07-21,Otsego,1,4
2023-07-21,Putnam,6,41
2023-07-21,Queens,52,677
2023-07-21,Rensselaer,1,17
2023-07-21,Richmond,10,82
2023-07-21,Rockland,8,116
2023-07-21,STATEWIDE,504,5654
2023-07-21,Saratoga,1,59
2023-07-21,Schenectady,2,12
2023-07-21,Schoharie,1,3
2023-07-21,Schuyler,0,0
2023-07-21,Seneca,1,12
2023-07-21,Southern Tier,13,87
2023-07-21,St. Lawrence,0,42
2023-07-21,Steuben,3,8
2023-07-21,Suffolk,56,449
2023-07-21,Sullivan,4,22
2023-07-21,Tioga,1,3
2023-07-21,Tompkins,4,12
2023-07-21,Ulster,1,27
2023-07-21,Warren,1,15
2023-07-21,Washington,0,6
2023-07-21,Wayne,2,19
2023-07-21,Westchester,53,452
2023-07-21,Western New York,11,78
2023-07-21,Wyoming,0,0
2023-07-21,Yates,0,2
2023-07-20,Albany,5,43
2023-07-20,Allegany,0,1
2023-07-20,Bronx,45,677
2023-07-20,Broome,2,6
2023-07-20,Capital Region,11,156
2023-07-20,Cattaraugus,0,5
2023-07-20,Cayuga,1,11
2023-07-20,Central New York,19,187
2023-07-20,Chautauqua,1,5
2023-07-20,Chemung,2,12
2023-07-20,Chenango,1,5
2023-07-20,Clinton,0,18
2023-07-20,Columbia,0,7
2023-07-20,Cortland,1,9
2023-07-20,Delaware,0,1
2023-07-20,Dutchess,9,46
2023-07-20,Erie,16,71
2023-07-20,Essex,0,10
2023-07-20,Finger Lakes,17,159
2023-07-20,Franklin,1,11
2023-07-20,Fulton,2,6
2023-07-20,Genesee,2,11
2023-07-20,Greene,0,2
2023-07-20,Hamilton,0,0
2023-07-20,Herkimer,0,4
2023-07-20,Jefferson,2,64
2023-07-20,Kings,70,981
2023-07-20,Lewis,0,5
2023-07-20,Livingston,1,3
2023-07-20,Long Island,56,613
2023-07-20,Madison,0,5
2023-07-20,Mid-Hudson,66,844
2023-07-20,Mohawk Valley,6,84
2023-07-20,Monroe,9,92
2023-07-20,Montgomery,0,4
2023-07-20,Nassau,31,319
2023-07-20,New York,41,644
2023-07-20,New York City,232,3103
2023-07-20,Niagara,2,9
2023-07-20,North Country,5,143
2023-07-20,Oneida,4,65
2023-07-20,Onondaga,14,126
2023-07-20,Ontario,0,5
2023-07-20,Orange,16,182
2023-07-20,Orleans,0,5
2023-07-20,Oswego,3,36
2023-07-20,Otsego,0,3
2023-07-20,Putnam,5,35
2023-07-20,Queens,69,735
2023-07-20,Rensselaer,0,19
2023-07-20,Richmond,7,66
2023-07-20,Rockland,5,104
2023-07-20,STATEWIDE,441,5424
2023-07-20,Saratoga,2,50
2023-07-20,Schenectady,2,19
2023-07-20,Schoharie,0,2
2023-07-20,Schuyler,0,1
2023-07-20,Seneca,3,21
2023-07-20,Southern Tier,10,44
2023-07-20,St. Lawrence,2,35
2023-07-20,Steuben,1,5
2023-07-20,Suffolk,25,294
2023-07-20,Sullivan,3,24
2023-07-20,Tioga,0,2
2023-07-20,Tompkins,4,12
2023-07-20,Ulster,7,46
2023-07-20,Warren,2,9
2023-07-20,Washington,0,7
2023-07-20,Wayne,1,18
2023-07-20,Westchester,21,407
2023-07-20,Western New York,19,91
2023-07-20,Wyoming,1,2
2023-07-20,Yates,0,2
2023-07-19,Albany,6,72
2023-07-19,Allegany,1,2
2023-07-19,Bronx,41,945
2023-07-19,Broome,3,6
2023-07-19,Capital Region,15,207
2023-07-19,Cattaraugus,2,7
2023-07-19,Cayuga,1,8
2023-07-19,Central New York,12,211
2023-07-19,Chautauqua,2,8
2023-07-19,Chemung,1,13
2023-07-19,Chenango,1,37
2023-07-19,Clinton,1,23
2023-07-19,Columbia,0,6
2023-07-19,Cortland,1,9
2023-07-19,Delaware,2,2
2023-07-19,Dutchess,8,64
2023-07-19,Erie,10,48
2023-07-19,Essex,0,12
2023-07-19,Finger Lakes,15,183
2023-07-19,Franklin,0,20
2023-07-19,Fulton,2,15
2023-07-19,Genesee,0,15
2023-07-19,Greene,0,3
2023-07-19,Hamilton,0,1
2023-07-19,Herkimer,1,6
2023-07-19,Jefferson,2,50
2023-07-19,Kings,61,1090
2023-07-19,Lewis,1,10
2023-07-19,Livingston,0,1
2023-07-19,Long Island,83,998
2023-07-19,Madison,2,16
2023-07-19,Mid-Hudson,81,854
2023-07-19,Mohawk Valley,10,76
2023-07-19,Monroe,12,116
2023-07-19,Montgomery,5,11
2023-07-19,Nassau,42,570
2023-07-19,New York,50,999
2023-07-19,New York City,246,3888
2023-07-19,Niagara,3,11
2023-07-19,North Country,5,159
2023-07-19,Oneida,2,39
2023-07-19,Onondaga,7,130
2023-07-19,Ontario,0,7
2023-07-19,Orange,13,137
2023-07-19,Orleans,0,3
2023-07-19,Oswego,1,48
2023-07-19,Otsego,0,3
2023-07-19,Putnam,4,35
2023-07-19,Queens,80,742
2023-07-19,Rensselaer,3,28
2023-07-19,Richmond,14,112
2023-07-19,Rockland,8,96
2023-07-19,STATEWIDE,498,6733
2023-07-19,Saratoga,2,51
2023-07-19,Schenectady,2,25
2023-07-19,Schoharie,0,2
2023-07-19,Schuyler,0,1
2023-07-19,Seneca,0,14
2023-07-19,Southern Tier,13,81
2023-07-19,St. Lawrence,1,43
2023-07-19,Steuben,3,13
2023-07-19,Suffolk,41,428
2023-07-19,Sullivan,3,25
2023-07-19,Tioga,0,1
2023-07-19,Tompkins,3,8
2023-07-19,Ulster,5,34
2023-07-19,Warren,2,15
2023-07-19,Washington,0,7
2023-07-19,Wayne,2,26
2023-07-19,Westchester,40,463
2023-07-19,Western New York,18,76
2023-07-19,Wyoming,1,1
2023-07-19,Yates,0,0
2023-07-18,Albany,9,61
2023-07-18,Allegany,1,1
2023-07-18,Bronx,85,758
2023-07-18,Broome,4,8
2023-07-18,Capital Region,20,196
2023-07-18,Cattaraugus,0,9
2023-07-18,Cayuga,0,4
2023-07-18,Central New York,7,178
2023-07-18,Chautauqua,0,8
2023-07-18,Chemung,1,14
2023-07-18,Chenango,0,7
2023-07-18,Clinton,1,21
2023-07-18,Columbia,0,4
2023-07-18,Cortland,1,11
2023-07-18,Delaware,0,5
2023-07-18,Dutchess,9,70
2023-07-18,Erie,9,53
2023-07-18,Essex,0,12
2023-07-18,Finger Lakes,9,131
2023-07-18,Franklin,1,13
2023-07-18,Fulton,1,9
2023-07-18,Genesee,0,14
2023-07-18,Greene,1,5
2023-07-18,Hamilton,0,2
2023-07-18,Herkimer,1,4
2023-07-18,Jefferson,0,60
2023-07-18,Kings,120,1211
2023-07-18,Lewis,1,7
2023-07-18,Livingston,1,2
2023-07-18,Long Island,187,1100
2023-07-18,Madison,3,14
2023-07-18,Mid-Hudson,112,919
2023-07-18,Mohawk Valley,12,79
2023-07-18,Monroe,8,70
2023-07-18,Montgomery,1,2
2023-07-18,Nassau,85,601
2023-07-18,New York,98,702
2023-07-18,New York City,420,3762
2023-07-18,Niagara,1,9
2023-07-18,North Country,4,144
2023-07-18,Oneida,5,56
2023-07-18,Onondaga,3,101
2023-07-18,Ontario,0,10
2023-07-18,Orange,21,177
2023-07-18,Orleans,0,6
2023-07-18,Oswego,0,48
2023-07-18,Otsego,2,4
2023-07-18,Putnam,2,27
2023-07-18,Queens,97,975
2023-07-18,Rensselaer,5,39
2023-07-18,Richmond,20,116
2023-07-18,Rockland,11,100
2023-07-18,STATEWIDE,789,6641
2023-07-18,Saratoga,1,52
2023-07-18,Schenectady,4,16
2023-07-18,Schoharie,2,4
2023-07-18,Schuyler,0,0
2023-07-18,Seneca,0,9
2023-07-18,Southern Tier,7,52
2023-07-18,St. Lawrence,1,29
2023-07-18,Steuben,0,7
2023-07-18,Suffolk,102,499
2023-07-18,Sullivan,4,26
2023-07-18,Tioga,1,3
2023-07-18,Tompkins,1,8
2023-07-18,Ulster,1,39
2023-07-18,Warren,0,13
2023-07-18,Washington,0,6
2023-07-18,Wayne,0,17
2023-07-18,Westchester,64,480
2023-07-18,Western New York,11,80
2023-07-18,Wyoming,0,3
2023-07-18,Yates,0,0
2023-07-17,Albany,5,49
2023-07-17,Allegany,0,1
2023-07-17,Bronx,30,519
2023-07-17,Broome,2,3
2023-07-17,Capital Region,8,144
2023-07-17,Cattaraugus,0,2
2023-07-17,Cayuga,0,10
2023-07-17,Central New York,9,186
2023-07-17,Chautauqua,1,5
2023-07-17,Chemung,0,12
2023-07-17,Chenango,0,34
2023-07-17,Clinton,0,9
2023-07-17,Columbia,0,7
2023-07-17,Cortland,2,7
2023-07-17,Delaware,0,0
2023-07-17,Dutchess,6,49
2023-07-17,Erie,4,26
2023-07-17,Essex,0,4
2023-07-17,Finger Lakes,7,112
2023-07-17,Franklin,0,6
2023-07-17,Fulton,0,7
2023-07-17,Genesee,1,10
2023-07-17,Greene,0,0
2023-07-17,Hamilton,0,0
2023-07-17,Herkimer,0,4
2023-07-17,Jefferson,1,51
2023-07-17,Kings,47,750
2023-07-17,Lewis,0,6
2023-07-17,Livingston,0,1
2023-07-17,Long Island,59,530
2023-07-17,Madison,3,12
2023-07-17,Mid-Hudson,75,634
2023-07-17,Mohawk Valley,7,87
2023-07-17,Monroe,6,65
2023-07-17,Montgomery,1,7
2023-07-17,Nassau,35,293
2023-07-17,New York,33,508
2023-07-17,New York City,161,2442
2023-07-17,Niagara,0,10
2023-07-17,North Country,1,108
2023-07-17,Oneida,4,62
2023-07-17,Onondaga,4,123
2023-07-17,Ontario,0,8
2023-07-17,Orange,17,101
2023-07-17,Orleans,0,3
2023-07-17,Oswego,0,34
2023-07-17,Otsego,1,4
2023-07-17,Putnam,0,21
2023-07-17,Queens,47,584
2023-07-17,Rensselaer,1,18
2023-07-17,Richmond,4,81
2023-07-17,Rockland,4,82
2023-07-17,STATEWIDE,336,4348
2023-07-17,Saratoga,2,41
2023-07-17,Schenectady,0,11
2023-07-17,Schoharie,1,3
2023-07-17,Schuyler,0,0
2023-07-17,Seneca,0,11
2023-07-17,Southern Tier,4,61
2023-07-17,St. Lawrence,0,32
2023-07-17,Steuben,0,3
2023-07-17,Suffolk,24,237
2023-07-17,Sullivan,6,28
2023-07-17,Tioga,1,1
2023-07-17,Tompkins,1,8
2023-07-17,Ulster,1,14
2023-07-17,Warren,0,9
2023-07-17,Washington,0,9
2023-07-17,Wayne,0,12
2023-07-17,Westchester,41,339
2023-07-17,Western New York,5,44
2023-07-17,Wyoming,0,1
2023-07-17,Yates,0,1
2023-07-16,Albany,2,38
2023-07-16,Allegany,0,0
2023-07-16,Bronx,40,414
2023-07-16,Broome,5,6
2023-07-16,Capital Region,8,133
2023-07-16,Cattaraugus,0,5
2023-07-16,Cayuga,0,4
2023-07-16,Central New York,5,153
2023-07-16,Chautauqua,0,4
2023-07-16,Chemung,1,4
2023-07-16,Chenango,0,0
2023-07-16,Clinton,1,22
2023-07-16,Columbia,0,3
2023-07-16,Cortland,1,5
2023-07-16,Delaware,0,0
2023-07-16,Dutchess,3,56
2023-07-16,Erie,1,14
2023-07-16,Essex,0,8
2023-07-16,Finger Lakes,13,136
2023-07-16,Franklin,1,12
2023-07-16,Fulton,0,8
2023-07-16,Genesee,0,9
2023-07-16,Greene,0,3
2023-07-16,Hamilton,0,1
2023-07-16,Herkimer,0,2
2023-07-16,Jefferson,1,34
2023-07-16,Kings,24,729
2023-07-16,Lewis,0,7
2023-07-16,Livingston,0,2
2023-07-16,Long Island,40,481
2023-07-16,Madison,0,12
2023-07-16,Mid-Hudson,26,547
2023-07-16,Mohawk Valley,3,49
2023-07-16,Monroe,8,77
2023-07-16,Montgomery,2,4
2023-07-16,Nassau,23,267
2023-07-16,New York,36,340
2023-07-16,New York City,154,2078
2023-07-16,Niagara,0,3
2023-07-16,North Country,6,111
2023-07-16,Oneida,1,31
2023-07-16,Onondaga,3,103
2023-07-16,Ontario,1,12
2023-07-16,Orange,5,108
2023-07-16,Orleans,0,2
2023-07-16,Oswego,1,29
2023-07-16,Otsego,0,4
2023-07-16,Putnam,3,16
2023-07-16,Queens,44,536
2023-07-16,Rensselaer,2,23
2023-07-16,Richmond,10,59
2023-07-16,Rockland,3,69
2023-07-16,STATEWIDE,262,3733
2023-07-16,Saratoga,0,34
2023-07-16,Schenectady,2,6
2023-07-16,Schoharie,0,0
2023-07-16,Schuyler,0,0
2023-07-16,Seneca,1,9
2023-07-16,Southern Tier,6,19
2023-07-16,St. Lawrence,3,27
2023-07-16,Steuben,0,4
2023-07-16,Suffolk,17,214
2023-07-16,Sullivan,1,16
2023-07-16,Tioga,0,1
2023-07-16,Tompkins,0,4
2023-07-16,Ulster,0,26
2023-07-16,Warren,2,15
2023-07-16,Washington,0,11
2023-07-16,Wayne,2,21
2023-07-16,Westchester,11,256
2023-07-16,Western New York,1,26
2023-07-16,Wyoming,1,3
2023-07-16,Yates,0,1
2023-07-15,Albany,3,43
2023-07-15,Allegany,2,2
2023-07-15,Bronx,56,632
2023-07-15,Broome,1,6
2023-07-15,Capital Region,5,133
2023-07-15,Cattaraugus,0,4
2023-07-15,Cayuga,0,5
2023-07-15,Central New York,8,170
2023-07-15,Chautauqua,0,7
2023-07-15,Chemung,0,11
2023-07-15,Chenango,0,0
2023-07-15,Clinton,2,25
2023-07-15,Columbia,0,1
2023-07-15,Cortland,1,7
2023-07-15,Delaware,0,4
2023-07-15,Dutchess,4,122
2023-07-15,Erie,12,41
2023-07-15,Essex,1,10
2023-07-15,Finger Lakes,15,160
2023-07-15,Franklin,1,10
2023-07-15,Fulton,0,16
2023-07-15,Genesee,1,10
2023-07-15,Greene,0,2
2023-07-15,Hamilton,0,1
2023-07-15,Herkimer,0,8
2023-07-15,Jefferson,0,49
2023-07-15,Kings,48,950
2023-07-15,Lewis,0,8
2023-07-15,Livingston,0,1
2023-07-15,Long Island,78,799
2023-07-15,Madison,3,14
2023-07-15,Mid-Hudson,54,808
2023-07-15,Mohawk Valley,4,64
2023-07-15,Monroe,4,90
2023-07-15,Montgomery,1,4
2023-07-15,Nassau,35,435
2023-07-15,New York,94,669
2023-07-15,New York City,276,3178
2023-07-15,Niagara,0,11
2023-07-15,North Country,4,131
2023-07-15,Oneida,1,29
2023-07-15,Onondaga,2,107
2023-07-15,Ontario,4,14
2023-07-15,Orange,8,114
2023-07-15,Orleans,1,4
2023-07-15,Oswego,2,37
2023-07-15,Otsego,1,5
2023-07-15,Putnam,5,34
2023-07-15,Queens,66,818
2023-07-15,Rensselaer,1,22
2023-07-15,Richmond,12,109
2023-07-15,Rockland,4,106
2023-07-15,STATEWIDE,460,5538
2023-07-15,Saratoga,1,38
2023-07-15,Schenectady,0,14
2023-07-15,Schoharie,1,2
2023-07-15,Schuyler,0,0
2023-07-15,Seneca,2,15
2023-07-15,Southern Tier,2,30
2023-07-15,St. Lawrence,0,28
2023-07-15,Steuben,0,4
2023-07-15,Suffolk,43,364
2023-07-15,Sullivan,6,21
2023-07-15,Tioga,0,2
2023-07-15,Tompkins,1,3
2023-07-15,Ulster,1,37
2023-07-15,Warren,0,9
2023-07-15,Washington,0,4
2023-07-15,Wayne,3,25
2023-07-15,Westchester,26,374
2023-07-15,Western New York,14,65
2023-07-15,Wyoming,0,0
2023-07-15,Yates,0,1
2023-07-14,Albany,4,63
2023-07-14,Allegany,0,2
2023-07-14,Bronx,69,754
2023-07-14,Broome,7,12
2023-07-14,Capital Region,13,189
2023-07-14,Cattaraugus,0,1
2023-07-14,Cayuga,0,7
2023-07-14,Central New York,11,207
2023-07-14,Chautauqua,1,2
2023-07-14,Chemung,1,12
2023-07-14,Chenango,2,41
2023-07-14,Clinton,1,19
2023-07-14,Columbia,1,8
2023-07-14,Cortland,1,8
2023-07-14,Delaware,0,1
2023-07-14,Dutchess,8,49
2023-07-14,Erie,7,47
2023-07-14,Essex,2,10
2023-07-14,Finger Lakes,12,194
2023-07-14,Franklin,1,17
2023-07-14,Fulton,0,10
2023-07-14,Genesee,0,15
2023-07-14,Greene,1,8
2023-07-14,Hamilton,1,2
2023-07-14,Herkimer,0,4
2023-07-14,Jefferson,3,49
2023-07-14,Kings,91,1002
2023-07-14,Lewis,0,6
2023-07-14,Livingston,1,3
2023-07-14,Long Island,156,1019
2023-07-14,Madison,7,30
2023-07-14,Mid-Hudson,94,912
2023-07-14,Mohawk Valley,3,75
2023-07-14,Monroe,9,131
2023-07-14,Montgomery,0,3
2023-07-14,Nassau,64,530
2023-07-14,New York,75,893
2023-07-14,New York City,341,3630
2023-07-14,Niagara,0,13
2023-07-14,North Country,10,147
2023-07-14,Oneida,1,55
2023-07-14,Onondaga,2,114
2023-07-14,Ontario,1,11
2023-07-14,Orange,11,160
2023-07-14,Orleans,0,6
2023-07-14,Oswego,1,48
2023-07-14,Otsego,2,2
2023-07-14,Putnam,7,45
2023-07-14,Queens,98,883
2023-07-14,Rensselaer,0,22
2023-07-14,Richmond,8,98
2023-07-14,Rockland,14,113
2023-07-14,STATEWIDE,659,6519
2023-07-14,Saratoga,1,53
2023-07-14,Schenectady,5,18
2023-07-14,Schoharie,0,1
2023-07-14,Schuyler,0,0
2023-07-14,Seneca,0,9
2023-07-14,Southern Tier,11,81
2023-07-14,St. Lawrence,2,44
2023-07-14,Steuben,1,3
2023-07-14,Suffolk,92,489
2023-07-14,Sullivan,3,25
2023-07-14,Tioga,0,0
2023-07-14,Tompkins,0,12
2023-07-14,Ulster,4,40
2023-07-14,Warren,1,12
2023-07-14,Washington,0,5
2023-07-14,Wayne,0,17
2023-07-14,Westchester,47,480
2023-07-14,Western New York,8,65
2023-07-14,Wyoming,0,1
2023-07-14,Yates,1,1
2023-07-13,Albany,6,45
2023-07-13,Allegany,0,0
2023-07-13,Bronx,56,858
2023-07-13,Broome,0,2
2023-07-13,Capital Region,15,150
2023-07-13,Cattaraugus,1,4
2023-07-13,Cayuga,0,4
2023-07-13,Central New York,13,193
2023-07-13,Chautauqua,0,13
2023-07-13,Chemung,1,18
2023-07-13,Chenango,2,36
2023-07-13,Clinton,2,26
2023-07-13,Columbia,0,2
2023-07-13,Cortland,2,9
2023-07-13,Delaware,0,5
2023-07-13,Dutchess,5,48
2023-07-13,Erie,15,63
2023-07-13,Essex,1,11
2023-07-13,Finger Lakes,27,178
2023-07-13,Franklin,1,11
2023-07-13,Fulton,0,6
2023-07-13,Genesee,1,13
2023-07-13,Greene,1,4
2023-07-13,Hamilton,0,0
2023-07-13,Herkimer,1,6
2023-07-13,Jefferson,4,56
2023-07-13,Kings,65,993
2023-07-13,Lewis,0,5
2023-07-13,Livingston,3,3
2023-07-13,Long Island,55,905
2023-07-13,Madison,3,16
2023-07-13,Mid-Hudson,67,901
2023-07-13,Mohawk Valley,5,58
2023-07-13,Monroe,16,113
2023-07-13,Montgomery,2,3
2023-07-13,Nassau,31,558
2023-07-13,New York,84,853
2023-07-13,New York City,288,3586
2023-07-13,Niagara,1,8
2023-07-13,North Country,9,143
2023-07-13,Oneida,1,40
2023-07-13,Onondaga,6,131
2023-07-13,Ontario,3,14
2023-07-13,Orange,9,146
2023-07-13,Orleans,1,7
2023-07-13,Oswego,2,33
2023-07-13,Otsego,1,3
2023-07-13,Putnam,4,40
2023-07-13,Queens,68,800
2023-07-13,Rensselaer,1,26
2023-07-13,Richmond,15,82
2023-07-13,Rockland,7,129
2023-07-13,STATEWIDE,500,6282
2023-07-13,Saratoga,2,37
2023-07-13,Schenectady,2,15
2023-07-13,Schoharie,0,0
2023-07-13,Schuyler,0,2
2023-07-13,Seneca,0,9
2023-07-13,Southern Tier,4,80
2023-07-13,St. Lawrence,1,34
2023-07-13,Steuben,0,6
2023-07-13,Suffolk,24,347
2023-07-13,Sullivan,2,27
2023-07-13,Tioga,1,3
2023-07-13,Tompkins,0,8
2023-07-13,Ulster,8,49
2023-07-13,Warren,3,11
2023-07-13,Washington,0,10
2023-07-13,Wayne,3,16
2023-07-13,Westchester,32,462
2023-07-13,Western New York,17,88
2023-07-13,Wyoming,0,2
2023-07-13,Yates,0,1
2023-07-12,Albany,7,66
2023-07-12,Allegany,0,1
2023-07-12,Bronx,35,971
2023-07-12,Broome,2,10
2023-07-12,Capital Region,16,225
2023-07-12,Cattaraugus,1,3
2023-07-12,Cayuga,0,6
2023-07-12,Central New York,7,196
2023-07-12,Chautauqua,1,13
2023-07-12,Chemung,1,25
2023-07-12,Chenango,0,8
2023-07-12,Clinton,3,25
2023-07-12,Columbia,0,4
2023-07-12,Cortland,0,3
2023-07-12,Delaware,0,1
2023-07-12,Dutchess,9,56
2023-07-12,Erie,4,48
2023-07-12,Essex,0,6
2023-07-12,Finger Lakes,18,150
2023-07-12,Franklin,0,17
2023-07-12,Fulton,0,1
2023-07-12,Genesee,0,10
2023-07-12,Greene,0,6
2023-07-12,Hamilton,0,0
2023-07-12,Herkimer,0,7
2023-07-12,Jefferson,2,60
2023-07-12,Kings,63,1191
2023-07-12,Lewis,0,7
2023-07-12,Livingston,0,2
2023-07-12,Long Island,76,901
2023-07-12,Madison,0,10
2023-07-12,Mid-Hudson,59,970
2023-07-12,Mohawk Valley,2,50
2023-07-12,Monroe,13,81
2023-07-12,Montgomery,0,3
2023-07-12,Nassau,43,473
2023-07-12,New York,48,930
2023-07-12,New York City,216,4029
2023-07-12,Niagara,0,7
2023-07-12,North Country,9,163
2023-07-12,Oneida,0,33
2023-07-12,Onondaga,6,130
2023-07-12,Ontario,3,16
2023-07-12,Orange,11,147
2023-07-12,Orleans,1,9
2023-07-12,Oswego,1,47
2023-07-12,Otsego,2,6
2023-07-12,Putnam,2,32
2023-07-12,Queens,61,830
2023-07-12,Rensselaer,2,30
2023-07-12,Richmond,9,107
2023-07-12,Rockland,5,122
2023-07-12,STATEWIDE,414,6822
2023-07-12,Saratoga,3,78
2023-07-12,Schenectady,0,16
2023-07-12,Schoharie,0,0
2023-07-12,Schuyler,0,1
2023-07-12,Seneca,0,11
2023-07-12,Southern Tier,5,66
2023-07-12,St. Lawrence,4,48
2023-07-12,Steuben,0,6
2023-07-12,Suffolk,33,428
2023-07-12,Sullivan,0,17
2023-07-12,Tioga,0,1
2023-07-12,Tompkins,2,14
2023-07-12,Ulster,2,23
2023-07-12,Warren,1,17
2023-07-12,Washington,3,8
2023-07-12,Wayne,0,16
2023-07-12,Westchester,30,573
2023-07-12,Western New York,6,72
2023-07-12,Wyoming,1,2
2023-07-12,Yates,0,3
2023-07-11,Albany,4,69
2023-07-11,Allegany,0,4
2023-07-11,Bronx,34,610
2023-07-11,Broome,3,10
2023-07-11,Capital Region,11,184
2023-07-11,Cattaraugus,2,5
2023-07-11,Cayuga,0,9
2023-07-11,Central New York,3,187
2023-07-11,Chautauqua,0,10
2023-07-11,Chemung,3,24
2023-07-11,Chenango,0,8
2023-07-11,Clinton,3,29
2023-07-11,Columbia,0,3
2023-07-11,Cortland,0,5
2023-07-11,Delaware,0,1
2023-07-11,Dutchess,6,64
2023-07-11,Erie,8,75
2023-07-11,Essex,1,13
2023-07-11,Finger Lakes,12,233
2023-07-11,Franklin,3,16
2023-07-11,Fulton,0,6
2023-07-11,Genesee,0,12
2023-07-11,Greene,0,3
2023-07-11,Hamilton,0,1
2023-07-11,Herkimer,0,8
2023-07-11,Jefferson,5,59
2023-07-11,Kings,62,1233
2023-07-11,Lewis,0,4
2023-07-11,Livingston,0,4
2023-07-11,Long Island,103,1033
2023-07-11,Madison,0,15
2023-07-11,Mid-Hudson,75,911
2023-07-11,Mohawk Valley,3,80
2023-07-11,Monroe,12,152
2023-07-11,Montgomery,0,2
2023-07-11,Nassau,53,575
2023-07-11,New York,47,577
2023-07-11,New York City,209,3431
2023-07-11,Niagara,4,24
2023-07-11,North Country,13,161
2023-07-11,Oneida,2,61
2023-07-11,Onondaga,3,125
2023-07-11,Ontario,0,16
2023-07-11,Orange,10,162
2023-07-11,Orleans,0,4
2023-07-11,Oswego,0,33
2023-07-11,Otsego,1,2
2023-07-11,Putnam,3,35
2023-07-11,Queens,57,872
2023-07-11,Rensselaer,1,31
2023-07-11,Richmond,9,139
2023-07-11,Rockland,14,106
2023-07-11,STATEWIDE,453,6401
2023-07-11,Saratoga,4,48
2023-07-11,Schenectady,1,13
2023-07-11,Schoharie,0,1
2023-07-11,Schuyler,1,2
2023-07-11,Seneca,0,15
2023-07-11,Southern Tier,10,63
2023-07-11,St. Lawrence,1,39
2023-07-11,Steuben,1,8
2023-07-11,Suffolk,50,458
2023-07-11,Sullivan,4,31
2023-07-11,Tioga,2,4
2023-07-11,Tompkins,0,6
2023-07-11,Ulster,4,38
2023-07-11,Warren,0,9
2023-07-11,Washington,1,8
2023-07-11,Wayne,0,25
2023-07-11,Westchester,34,475
2023-07-11,Western New York,14,118
2023-07-11,Wyoming,0,3
2023-07-11,Yates,0,2
2023-07-10,Albany,5,61
2023-07-10,Allegany,0,0
2023-07-10,Bronx,23,568
2023-07-10,Broome,2,3
2023-07-10,Capital Region,14,172
2023-07-10,Cattaraugus,0,5
2023-07-10,Cayuga,0,4
2023-07-10,Central New York,7,166
2023-07-10,Chautauqua,0,15
2023-07-10,Chemung,1,9
2023-07-10,Chenango,1,29
2023-07-10,Clinton,2,18
2023-07-10,Columbia,1,4
2023-07-10,Cortland,1,3
2023-07-10,Delaware,1,1
2023-07-10,Dutchess,4,34
2023-07-10,Erie,7,28
2023-07-10,Essex,0,3
